task,k_shot,seed,repeat,feature_mode,src_tail_weight,hash_disjoint,group_disjoint,target_available_after_hash_class0,target_available_after_hash_class1,target_excluded_hash_overlap_class0,target_excluded_hash_overlap_class1,support_count,query_count,query_count_class0,query_count_class1,support_groups,query_groups,hash_drop_side,hash_drop_side_requested,source_initial_count,source_after_hash_count,target_source_hash_overlap_raw,method,acc,f1,auc,pd_at_pfa_0.05,pd_at_pfa_0.01,pd_tc,pfa_tc,threshold_tc
open+speedboat->uuv,20,2026,2,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,87,source,source,15948,11537,2695,CosMetricHead,0.778,0.7771084337349398,0.87746,0.502,0.286,,,
open+speedboat->uuv,20,2026,2,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,27,87,source,source,15948,11537,2695,RegMahaProxy-TC,0.824,0.8376383763837638,0.917196,0.612,0.346,0.908,0.26,-0.5769849777221668
open+speedboat->uuv,20,2026,3,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,29,85,source,source,15948,11537,2695,CE-Proto,0.676,0.6983240223463687,0.7916359999999999,0.342,0.196,,,
open+speedboat->uuv,20,2026,3,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,29,85,source,source,15948,11537,2695,CE-LinearHead,0.808,0.8024691358024691,0.88062,0.54,0.27,,,
open+speedboat->uuv,20,2026,3,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,29,85,source,source,15948,11537,2695,CosMetricHead,0.771,0.7665647298674821,0.8470080000000001,0.382,0.178,,,
open+speedboat->uuv,20,2026,3,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,29,85,source,source,15948,11537,2695,RegMahaProxy-TC,0.791,0.8063021316033364,0.874268,0.538,0.218,0.87,0.288,-5.652821350097656
open+speedboat->uuv,20,2026,4,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,29,86,source,source,15948,11537,2695,CE-Proto,0.633,0.6419512195121951,0.751636,0.242,0.176,,,
open+speedboat->uuv,20,2026,4,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,29,86,source,source,15948,11537,2695,CE-LinearHead,0.772,0.7385321100917431,0.8910960000000001,0.596,0.37,,,
open+speedboat->uuv,20,2026,4,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,29,86,source,source,15948,11537,2695,CosMetricHead,0.765,0.7362514029180696,0.865056,0.492,0.21,,,
open+speedboat->uuv,20,2026,4,logmel,0.0,True,False,2000,902,0,0,40,1000,500,500,29,86,source,source,15948,11537,2695,RegMahaProxy-TC,0.787,0.7876370887337986,0.879208,0.542,0.354,0.79,0.216,-5.9527954101562495
