task,k_shot,seed,repeat,feature_mode,src_tail_weight,group_disjoint,support_groups,query_groups,method,acc,f1,auc,pd_at_pfa_0.05,pd_at_pfa_0.01,pd_tc,pfa_tc,threshold_tc
open+speedboat->uuv,5,2026,2,logmel,0.0,True,10,74,RegMahaProxy-TC,0.635,0.6054054054054054,0.6499222222222223,0.2733333333333333,0.20333333333333334,0.56,0.29,-0.23620719909667984
open+speedboat->uuv,10,2026,0,logmel,0.0,True,20,63,CE-Proto,0.7289156626506024,0.7457627118644068,0.8931144781144782,0.47474747474747475,0.2828282828282828,,,
open+speedboat->uuv,10,2026,0,logmel,0.0,True,20,63,CE-LinearHead,0.7349397590361446,0.7092511013215859,0.8451683501683502,0.4494949494949495,0.40404040404040403,,,
open+speedboat->uuv,10,2026,0,logmel,0.0,True,20,63,CosMetricHead,0.7871485943775101,0.7568807339449541,0.8605218855218855,0.4797979797979798,0.3686868686868687,,,
open+speedboat->uuv,10,2026,0,logmel,0.0,True,20,63,RegMahaProxy-TC,0.7028112449799196,0.6824034334763949,0.8071717171717172,0.4494949494949495,0.37373737373737376,0.803030303030303,0.36333333333333334,0.2825253486633297
open+speedboat->uuv,10,2026,1,logmel,0.0,True,20,64,CE-Proto,0.6591422121896162,0.6544622425629291,0.8261771561771561,0.16783216783216784,0.04195804195804196,,,
open+speedboat->uuv,10,2026,1,logmel,0.0,True,20,64,CE-LinearHead,0.744920993227991,0.7080103359173127,0.845944055944056,0.16783216783216784,0.04195804195804196,,,
open+speedboat->uuv,10,2026,1,logmel,0.0,True,20,64,CosMetricHead,0.744920993227991,0.6220735785953178,0.8016083916083916,0.20279720279720279,0.03496503496503497,,,
open+speedboat->uuv,10,2026,1,logmel,0.0,True,20,64,RegMahaProxy-TC,0.7133182844243793,0.6318840579710145,0.7717016317016319,0.2097902097902098,0.027972027972027972,0.7622377622377622,0.31,0.6298017501831051
open+speedboat->uuv,10,2026,2,logmel,0.0,True,20,63,CE-Proto,0.44395604395604393,0.24024024024024024,0.32150537634408605,0.0,0.0,,,
open+speedboat->uuv,10,2026,2,logmel,0.0,True,20,63,CE-LinearHead,0.5142857142857142,0.2558922558922559,0.3695913978494624,0.07741935483870968,0.0,,,
open+speedboat->uuv,10,2026,2,logmel,0.0,True,20,63,CosMetricHead,0.5626373626373626,0.2867383512544803,0.6387096774193548,0.14193548387096774,0.0,,,
open+speedboat->uuv,10,2026,2,logmel,0.0,True,20,63,RegMahaProxy-TC,0.6175824175824176,0.43137254901960786,0.5557419354838711,0.07096774193548387,0.0,0.4258064516129032,0.2833333333333333,0.8288042068481445
open+speedboat->uuv,20,2026,0,logmel,0.0,True,30,55,CE-Proto,0.450261780104712,0.2391304347826087,0.39235772357723575,0.06097560975609756,0.012195121951219513,,,
open+speedboat->uuv,20,2026,0,logmel,0.0,True,30,55,CE-LinearHead,0.680628272251309,0.25609756097560976,0.45569105691056905,0.036585365853658534,0.0,,,
open+speedboat->uuv,20,2026,0,logmel,0.0,True,30,55,CosMetricHead,0.7172774869109948,0.15625,0.7142682926829268,0.036585365853658534,0.0,,,
open+speedboat->uuv,20,2026,0,logmel,0.0,True,30,55,RegMahaProxy-TC,0.6649214659685864,0.36633663366336633,0.625609756097561,0.024390243902439025,0.0,0.45121951219512196,0.27666666666666667,-1.9126236915588377
open+speedboat->uuv,20,2026,1,logmel,0.0,True,30,56,CE-Proto,0.5896328293736501,0.5153061224489796,0.5867893660531697,0.0,0.0,,,
open+speedboat->uuv,20,2026,1,logmel,0.0,True,30,56,CE-LinearHead,0.6760259179265659,0.5253164556962026,0.6293456032719835,0.006134969325153374,0.0,,,
open+speedboat->uuv,20,2026,1,logmel,0.0,True,30,56,CosMetricHead,0.6501079913606912,0.41304347826086957,0.7172085889570552,0.024539877300613498,0.018404907975460124,,,
open+speedboat->uuv,20,2026,1,logmel,0.0,True,30,56,RegMahaProxy-TC,0.652267818574514,0.34285714285714286,0.6886298568507158,0.006134969325153374,0.0,0.25766871165644173,0.13333333333333333,-0.5592406272888177
open+speedboat->uuv,20,2026,2,logmel,0.0,True,29,57,CE-Proto,0.6960985626283368,0.7142857142857143,0.8641889483065954,0.08021390374331551,0.03208556149732621,,,
open+speedboat->uuv,20,2026,2,logmel,0.0,True,29,57,CE-LinearHead,0.86652977412731,0.8470588235294118,0.9676292335115865,0.8449197860962567,0.7486631016042781,,,
